#    L    TT             EE             TE             PP             TP          
  1021    0.10538E+04    0.43065E+02   -0.55860E+02    0.31724E+06    0.31927E+02
  1022    0.10545E+04    0.42874E+02   -0.57111E+02    0.31674E+06    0.31373E+02
  1023    0.10553E+04    0.42678E+02   -0.58341E+02    0.31625E+06    0.30825E+02
  1024    0.10563E+04    0.42475E+02   -0.59553E+02    0.31575E+06    0.30282E+02
  1025    0.10573E+04    0.42269E+02   -0.60743E+02    0.31526E+06    0.29745E+02
  1026    0.10587E+04    0.42056E+02   -0.61915E+02    0.31476E+06    0.29213E+02
  1027    0.10600E+04    0.41841E+02   -0.63066E+02    0.31427E+06    0.28686E+02
  1028    0.10613E+04    0.41619E+02   -0.64195E+02    0.31378E+06    0.28165E+02
  1029    0.10628E+04    0.41392E+02   -0.65304E+02    0.31329E+06    0.27649E+02
  1030    0.10644E+04    0.41162E+02   -0.66392E+02    0.31280E+06    0.27137E+02
  1031    0.10659E+04    0.40926E+02   -0.67455E+02    0.31232E+06    0.26631E+02
  1032    0.10677E+04    0.40684E+02   -0.68501E+02    0.31183E+06    0.26129E+02
  1033    0.10695E+04    0.40439E+02   -0.69522E+02    0.31134E+06    0.25631E+02
  1034    0.10716E+04    0.40191E+02   -0.70520E+02    0.31086E+06    0.25138E+02
  1035    0.10736E+04    0.39937E+02   -0.71496E+02    0.31038E+06    0.24650E+02
  1036    0.10758E+04    0.39679E+02   -0.72449E+02    0.30990E+06    0.24167E+02
  1037    0.10780E+04    0.39418E+02   -0.73378E+02    0.30942E+06    0.23689E+02
  1038    0.10803E+04    0.39153E+02   -0.74284E+02    0.30894E+06    0.23215E+02
  1039    0.10828E+04    0.38883E+02   -0.75162E+02    0.30846E+06    0.22748E+02
  1040    0.10852E+04    0.38610E+02   -0.76018E+02    0.30798E+06    0.22285E+02
  1041    0.10878E+04    0.38334E+02   -0.76846E+02    0.30751E+06    0.21828E+02
  1042    0.10904E+04    0.38053E+02   -0.77652E+02    0.30703E+06    0.21377E+02
  1043    0.10931E+04    0.37770E+02   -0.78430E+02    0.30656E+06    0.20932E+02
  1044    0.10959E+04    0.37482E+02   -0.79184E+02    0.30608E+06    0.20492E+02
  1045    0.10987E+04    0.37194E+02   -0.79914E+02    0.30561E+06    0.20058E+02
  1046    0.11016E+04    0.36901E+02   -0.80613E+02    0.30514E+06    0.19631E+02
  1047    0.11047E+04    0.36604E+02   -0.81296E+02    0.30467E+06    0.19210E+02
  1048    0.11076E+04    0.36306E+02   -0.81948E+02    0.30421E+06    0.18795E+02
  1049    0.11107E+04    0.36005E+02   -0.82568E+02    0.30374E+06    0.18387E+02
  1050    0.11138E+04    0.35701E+02   -0.83164E+02    0.30327E+06    0.17986E+02
  1051    0.11170E+04    0.35394E+02   -0.83736E+02    0.30281E+06    0.17591E+02
  1052    0.11202E+04    0.35085E+02   -0.84277E+02    0.30235E+06    0.17203E+02
  1053    0.11234E+04    0.34774E+02   -0.84795E+02    0.30188E+06    0.16821E+02
  1054    0.11267E+04    0.34462E+02   -0.85288E+02    0.30142E+06    0.16445E+02
  1055    0.11299E+04    0.34147E+02   -0.85750E+02    0.30096E+06    0.16075E+02
  1056    0.11333E+04    0.33831E+02   -0.86188E+02    0.30050E+06    0.15712E+02
  1057    0.11367E+04    0.33512E+02   -0.86595E+02    0.30004E+06    0.15354E+02
  1058    0.11403E+04    0.33193E+02   -0.86978E+02    0.29959E+06    0.15002E+02
  1059    0.11438E+04    0.32872E+02   -0.87329E+02    0.29913E+06    0.14656E+02
  1060    0.11473E+04    0.32549E+02   -0.87657E+02    0.29868E+06    0.14315E+02
  1061    0.11508E+04    0.32226E+02   -0.87953E+02    0.29822E+06    0.13980E+02
  1062    0.11544E+04    0.31901E+02   -0.88225E+02    0.29777E+06    0.13650E+02
  1063    0.11578E+04    0.31576E+02   -0.88466E+02    0.29732E+06    0.13325E+02
  1064    0.11614E+04    0.31250E+02   -0.88691E+02    0.29687E+06    0.13005E+02
  1065    0.11650E+04    0.30922E+02   -0.88884E+02    0.29642E+06    0.12691E+02
  1066    0.11685E+04    0.30594E+02   -0.89046E+02    0.29597E+06    0.12381E+02
  1067    0.11721E+04    0.30267E+02   -0.89176E+02    0.29552E+06    0.12076E+02
  1068    0.11757E+04    0.29938E+02   -0.89283E+02    0.29508E+06    0.11776E+02
  1069    0.11793E+04    0.29610E+02   -0.89373E+02    0.29463E+06    0.11480E+02
  1070    0.11829E+04    0.29281E+02   -0.89431E+02    0.29419E+06    0.11190E+02
  1071    0.11864E+04    0.28953E+02   -0.89459E+02    0.29374E+06    0.10905E+02
  1072    0.11900E+04    0.28624E+02   -0.89455E+02    0.29330E+06    0.10625E+02
  1073    0.11937E+04    0.28297E+02   -0.89427E+02    0.29286E+06    0.10350E+02
  1074    0.11972E+04    0.27969E+02   -0.89375E+02    0.29242E+06    0.10080E+02
  1075    0.12007E+04    0.27642E+02   -0.89300E+02    0.29198E+06    0.98157E+01
  1076    0.12042E+04    0.27315E+02   -0.89193E+02    0.29154E+06    0.95568E+01
  1077    0.12078E+04    0.26990E+02   -0.89069E+02    0.29111E+06    0.93034E+01
  1078    0.12112E+04    0.26666E+02   -0.88900E+02    0.29067E+06    0.90555E+01
  1079    0.12147E+04    0.26342E+02   -0.88721E+02    0.29024E+06    0.88133E+01
  1080    0.12181E+04    0.26019E+02   -0.88519E+02    0.28980E+06    0.85768E+01
  1081    0.12215E+04    0.25699E+02   -0.88285E+02    0.28937E+06    0.83460E+01
  1082    0.12248E+04    0.25379E+02   -0.88027E+02    0.28894E+06    0.81212E+01
  1083    0.12282E+04    0.25061E+02   -0.87746E+02    0.28851E+06    0.79022E+01
  1084    0.12315E+04    0.24745E+02   -0.87440E+02    0.28808E+06    0.76893E+01
  1085    0.12348E+04    0.24430E+02   -0.87104E+02    0.28765E+06    0.74823E+01
  1086    0.12381E+04    0.24118E+02   -0.86758E+02    0.28722E+06    0.72811E+01
  1087    0.12413E+04    0.23808E+02   -0.86367E+02    0.28679E+06    0.70857E+01
  1088    0.12444E+04    0.23499E+02   -0.85966E+02    0.28637E+06    0.68960E+01
  1089    0.12475E+04    0.23193E+02   -0.85535E+02    0.28594E+06    0.67119E+01
  1090    0.12506E+04    0.22889E+02   -0.85094E+02    0.28552E+06    0.65333E+01
  1091    0.12536E+04    0.22587E+02   -0.84615E+02    0.28510E+06    0.63602E+01
  1092    0.12566E+04    0.22288E+02   -0.84119E+02    0.28468E+06    0.61924E+01
  1093    0.12595E+04    0.21992E+02   -0.83600E+02    0.28426E+06    0.60300E+01
  1094    0.12623E+04    0.21698E+02   -0.83065E+02    0.28384E+06    0.58727E+01
  1095    0.12651E+04    0.21409E+02   -0.82514E+02    0.28342E+06    0.57206E+01
  1096    0.12679E+04    0.21121E+02   -0.81931E+02    0.28300E+06    0.55736E+01
  1097    0.12705E+04    0.20836E+02   -0.81325E+02    0.28258E+06    0.54315E+01
  1098    0.12732E+04    0.20556E+02   -0.80703E+02    0.28217E+06    0.52944E+01
  1099    0.12757E+04    0.20278E+02   -0.80065E+02    0.28175E+06    0.51620E+01
  1100    0.12782E+04    0.20005E+02   -0.79403E+02    0.28134E+06    0.50344E+01
  1101    0.12806E+04    0.19734E+02   -0.78723E+02    0.28092E+06    0.49114E+01
  1102    0.12831E+04    0.19467E+02   -0.78022E+02    0.28051E+06    0.47932E+01
  1103    0.12853E+04    0.19203E+02   -0.77304E+02    0.28010E+06    0.46796E+01
  1104    0.12876E+04    0.18945E+02   -0.76567E+02    0.27969E+06    0.45707E+01
  1105    0.12897E+04    0.18690E+02   -0.75813E+02    0.27928E+06    0.44665E+01
  1106    0.12918E+04    0.18438E+02   -0.75041E+02    0.27887E+06    0.43670E+01
  1107    0.12938E+04    0.18190E+02   -0.74252E+02    0.27847E+06    0.42722E+01
  1108    0.12957E+04    0.17946E+02   -0.73447E+02    0.27806E+06    0.41822E+01
  1109    0.12975E+04    0.17704E+02   -0.72626E+02    0.27766E+06    0.40969E+01
  1110    0.12993E+04    0.17470E+02   -0.71790E+02    0.27725E+06    0.40163E+01
  1111    0.13009E+04    0.17239E+02   -0.70938E+02    0.27685E+06    0.39406E+01
  1112    0.13026E+04    0.17012E+02   -0.70072E+02    0.27645E+06    0.38696E+01
  1113    0.13040E+04    0.16791E+02   -0.69190E+02    0.27604E+06    0.38034E+01
  1114    0.13054E+04    0.16572E+02   -0.68296E+02    0.27564E+06    0.37420E+01
  1115    0.13068E+04    0.16360E+02   -0.67389E+02    0.27524E+06    0.36854E+01
  1116    0.13081E+04    0.16152E+02   -0.66468E+02    0.27484E+06    0.36336E+01
  1117    0.13092E+04    0.15949E+02   -0.65536E+02    0.27445E+06    0.35867E+01
  1118    0.13102E+04    0.15751E+02   -0.64590E+02    0.27405E+06    0.35445E+01
  1119    0.13113E+04    0.15557E+02   -0.63633E+02    0.27365E+06    0.35072E+01
  1120    0.13122E+04    0.15369E+02   -0.62666E+02    0.27326E+06    0.34746E+01
  1121    0.13130E+04    0.15185E+02   -0.61686E+02    0.27286E+06    0.34467E+01
  1122    0.13138E+04    0.15007E+02   -0.60698E+02    0.27247E+06    0.34233E+01
  1123    0.13143E+04    0.14834E+02   -0.59700E+02    0.27208E+06    0.34045E+01
  1124    0.13149E+04    0.14665E+02   -0.58693E+02    0.27169E+06    0.33902E+01
  1125    0.13153E+04    0.14502E+02   -0.57676E+02    0.27130E+06    0.33804E+01
  1126    0.13157E+04    0.14345E+02   -0.56652E+02    0.27091E+06    0.33749E+01
  1127    0.13160E+04    0.14192E+02   -0.55620E+02    0.27052E+06    0.33737E+01
  1128    0.13161E+04    0.14046E+02   -0.54581E+02    0.27013E+06    0.33767E+01
  1129    0.13162E+04    0.13905E+02   -0.53535E+02    0.26974E+06    0.33840E+01
  1130    0.13161E+04    0.13768E+02   -0.52483E+02    0.26936E+06    0.33954E+01
  1131    0.13161E+04    0.13638E+02   -0.51426E+02    0.26897E+06    0.34108E+01
  1132    0.13159E+04    0.13513E+02   -0.50363E+02    0.26859E+06    0.34303E+01
  1133    0.13155E+04    0.13394E+02   -0.49295E+02    0.26820E+06    0.34537E+01
  1134    0.13151E+04    0.13280E+02   -0.48223E+02    0.26782E+06    0.34811E+01
  1135    0.13146E+04    0.13171E+02   -0.47147E+02    0.26744E+06    0.35122E+01
  1136    0.13140E+04    0.13069E+02   -0.46069E+02    0.26706E+06    0.35472E+01
  1137    0.13133E+04    0.12972E+02   -0.44987E+02    0.26668E+06    0.35860E+01
  1138    0.13125E+04    0.12881E+02   -0.43903E+02    0.26630E+06    0.36286E+01
  1139    0.13117E+04    0.12795E+02   -0.42817E+02    0.26592E+06    0.36749E+01
  1140    0.13107E+04    0.12715E+02   -0.41730E+02    0.26555E+06    0.37249E+01
  1141    0.13096E+04    0.12640E+02   -0.40642E+02    0.26517E+06    0.37786E+01
  1142    0.13085E+04    0.12572E+02   -0.39553E+02    0.26479E+06    0.38360E+01
  1143    0.13072E+04    0.12508E+02   -0.38465E+02    0.26442E+06    0.38971E+01
  1144    0.13057E+04    0.12450E+02   -0.37378E+02    0.26404E+06    0.39617E+01
  1145    0.13043E+04    0.12400E+02   -0.36292E+02    0.26367E+06    0.40300E+01
  1146    0.13028E+04    0.12353E+02   -0.35207E+02    0.26330E+06    0.41019E+01
  1147    0.13012E+04    0.12314E+02   -0.34125E+02    0.26293E+06    0.41773E+01
  1148    0.12994E+04    0.12279E+02   -0.33045E+02    0.26256E+06    0.42563E+01
  1149    0.12976E+04    0.12250E+02   -0.31968E+02    0.26219E+06    0.43388E+01
  1150    0.12956E+04    0.12227E+02   -0.30895E+02    0.26182E+06    0.44247E+01
  1151    0.12937E+04    0.12209E+02   -0.29826E+02    0.26145E+06    0.45142E+01
  1152    0.12915E+04    0.12197E+02   -0.28761E+02    0.26108E+06    0.46070E+01
  1153    0.12894E+04    0.12191E+02   -0.27702E+02    0.26072E+06    0.47033E+01
  1154    0.12871E+04    0.12190E+02   -0.26647E+02    0.26035E+06    0.48030E+01
  1155    0.12848E+04    0.12196E+02   -0.25598E+02    0.25999E+06    0.49061E+01
  1156    0.12823E+04    0.12206E+02   -0.24556E+02    0.25962E+06    0.50125E+01
  1157    0.12797E+04    0.12221E+02   -0.23520E+02    0.25926E+06    0.51222E+01
  1158    0.12771E+04    0.12243E+02   -0.22491E+02    0.25890E+06    0.52353E+01
  1159    0.12744E+04    0.12269E+02   -0.21470E+02    0.25854E+06    0.53517E+01
  1160    0.12715E+04    0.12302E+02   -0.20457E+02    0.25818E+06    0.54713E+01
  1161    0.12687E+04    0.12339E+02   -0.19452E+02    0.25782E+06    0.55941E+01
  1162    0.12657E+04    0.12383E+02   -0.18457E+02    0.25746E+06    0.57202E+01
  1163    0.12627E+04    0.12431E+02   -0.17471E+02    0.25710E+06    0.58495E+01
  1164    0.12596E+04    0.12485E+02   -0.16494E+02    0.25674E+06    0.59819E+01
  1165    0.12564E+04    0.12544E+02   -0.15527E+02    0.25639E+06    0.61175E+01
  1166    0.12530E+04    0.12608E+02   -0.14570E+02    0.25603E+06    0.62563E+01
  1167    0.12497E+04    0.12677E+02   -0.13625E+02    0.25568E+06    0.63981E+01
  1168    0.12462E+04    0.12752E+02   -0.12690E+02    0.25532E+06    0.65430E+01
  1169    0.12428E+04    0.12831E+02   -0.11768E+02    0.25497E+06    0.66910E+01
  1170    0.12392E+04    0.12916E+02   -0.10857E+02    0.25462E+06    0.68420E+01
  1171    0.12355E+04    0.13005E+02   -0.99588E+01    0.25426E+06    0.69959E+01
  1172    0.12318E+04    0.13100E+02   -0.90734E+01    0.25391E+06    0.71526E+01
  1173    0.12280E+04    0.13199E+02   -0.82006E+01    0.25356E+06    0.73121E+01
  1174    0.12242E+04    0.13302E+02   -0.73416E+01    0.25321E+06    0.74743E+01
  1175    0.12202E+04    0.13410E+02   -0.64963E+01    0.25287E+06    0.76391E+01
  1176    0.12161E+04    0.13522E+02   -0.56655E+01    0.25252E+06    0.78065E+01
  1177    0.12121E+04    0.13640E+02   -0.48487E+01    0.25217E+06    0.79763E+01
  1178    0.12079E+04    0.13762E+02   -0.40467E+01    0.25182E+06    0.81485E+01
  1179    0.12038E+04    0.13889E+02   -0.32597E+01    0.25148E+06    0.83230E+01
  1180    0.11995E+04    0.14021E+02   -0.24880E+01    0.25113E+06    0.84998E+01
  1181    0.11952E+04    0.14155E+02   -0.17319E+01    0.25079E+06    0.86787E+01
  1182    0.11908E+04    0.14295E+02   -0.99181E+00    0.25045E+06    0.88597E+01
  1183    0.11864E+04    0.14438E+02   -0.26781E+00    0.25011E+06    0.90427E+01
  1184    0.11819E+04    0.14585E+02    0.43965E+00    0.24976E+06    0.92277E+01
  1185    0.11774E+04    0.14737E+02    0.11305E+01    0.24942E+06    0.94145E+01
  1186    0.11728E+04    0.14892E+02    0.18042E+01    0.24908E+06    0.96031E+01
  1187    0.11682E+04    0.15051E+02    0.24607E+01    0.24874E+06    0.97935E+01
  1188    0.11636E+04    0.15213E+02    0.30995E+01    0.24840E+06    0.99857E+01
  1189    0.11588E+04    0.15380E+02    0.37208E+01    0.24807E+06    0.10180E+02
  1190    0.11541E+04    0.15549E+02    0.43241E+01    0.24773E+06    0.10375E+02
  1191    0.11493E+04    0.15722E+02    0.49095E+01    0.24739E+06    0.10573E+02
  1192    0.11444E+04    0.15899E+02    0.54764E+01    0.24706E+06    0.10772E+02
  1193    0.11395E+04    0.16079E+02    0.60249E+01    0.24672E+06    0.10973E+02
  1194    0.11346E+04    0.16262E+02    0.65549E+01    0.24639E+06    0.11176E+02
  1195    0.11297E+04    0.16448E+02    0.70661E+01    0.24606E+06    0.11381E+02
  1196    0.11247E+04    0.16638E+02    0.75580E+01    0.24572E+06    0.11587E+02
  1197    0.11197E+04    0.16829E+02    0.80309E+01    0.24539E+06    0.11796E+02
  1198    0.11146E+04    0.17024E+02    0.84835E+01    0.24506E+06    0.12006E+02
  1199    0.11096E+04    0.17221E+02    0.89178E+01    0.24473E+06    0.12217E+02
  1200    0.11044E+04    0.17421E+02    0.93324E+01    0.24440E+06    0.12431E+02
  1201    0.10994E+04    0.17623E+02    0.97264E+01    0.24407E+06    0.12646E+02
  1202    0.10941E+04    0.17829E+02    0.10101E+02    0.24374E+06    0.12863E+02
  1203    0.10890E+04    0.18036E+02    0.10456E+02    0.24342E+06    0.13082E+02
  1204    0.10838E+04    0.18246E+02    0.10791E+02    0.24309E+06    0.13303E+02
  1205    0.10785E+04    0.18456E+02    0.11105E+02    0.24276E+06    0.13525E+02
  1206    0.10733E+04    0.18670E+02    0.11399E+02    0.24244E+06    0.13748E+02
  1207    0.10682E+04    0.18885E+02    0.11672E+02    0.24211E+06    0.13973E+02
  1208    0.10629E+04    0.19103E+02    0.11926E+02    0.24179E+06    0.14200E+02
  1209    0.10576E+04    0.19321E+02    0.12159E+02    0.24147E+06    0.14428E+02
  1210    0.10524E+04    0.19541E+02    0.12371E+02    0.24114E+06    0.14656E+02
  1211    0.10471E+04    0.19764E+02    0.12563E+02    0.24082E+06    0.14886E+02
  1212    0.10418E+04    0.19987E+02    0.12734E+02    0.24050E+06    0.15117E+02
  1213    0.10365E+04    0.20211E+02    0.12886E+02    0.24018E+06    0.15349E+02
  1214    0.10313E+04    0.20437E+02    0.13017E+02    0.23986E+06    0.15582E+02
  1215    0.10261E+04    0.20663E+02    0.13127E+02    0.23954E+06    0.15815E+02
  1216    0.10208E+04    0.20891E+02    0.13216E+02    0.23922E+06    0.16049E+02
  1217    0.10154E+04    0.21120E+02    0.13285E+02    0.23890E+06    0.16284E+02
  1218    0.10102E+04    0.21350E+02    0.13333E+02    0.23859E+06    0.16519E+02
  1219    0.10049E+04    0.21580E+02    0.13362E+02    0.23827E+06    0.16755E+02
  1220    0.99965E+03    0.21810E+02    0.13370E+02    0.23796E+06    0.16991E+02
  1221    0.99442E+03    0.22040E+02    0.13358E+02    0.23764E+06    0.17227E+02
  1222    0.98918E+03    0.22272E+02    0.13324E+02    0.23733E+06    0.17464E+02
  1223    0.98395E+03    0.22504E+02    0.13272E+02    0.23701E+06    0.17701E+02
  1224    0.97872E+03    0.22735E+02    0.13198E+02    0.23670E+06    0.17938E+02
  1225    0.97356E+03    0.22967E+02    0.13104E+02    0.23639E+06    0.18176E+02
  1226    0.96840E+03    0.23198E+02    0.12991E+02    0.23608E+06    0.18415E+02
  1227    0.96332E+03    0.23429E+02    0.12858E+02    0.23577E+06    0.18654E+02
  1228    0.95817E+03    0.23660E+02    0.12705E+02    0.23546E+06    0.18893E+02
  1229    0.95309E+03    0.23890E+02    0.12532E+02    0.23515E+06    0.19134E+02
  1230    0.94787E+03    0.24120E+02    0.12341E+02    0.23484E+06    0.19374E+02
  1231    0.94279E+03    0.24350E+02    0.12130E+02    0.23453E+06    0.19616E+02
  1232    0.93772E+03    0.24578E+02    0.11900E+02    0.23422E+06    0.19857E+02
  1233    0.93280E+03    0.24806E+02    0.11650E+02    0.23391E+06    0.20100E+02
  1234    0.92780E+03    0.25033E+02    0.11383E+02    0.23361E+06    0.20343E+02
  1235    0.92310E+03    0.25259E+02    0.11096E+02    0.23330E+06    0.20587E+02
  1236    0.91826E+03    0.25483E+02    0.10791E+02    0.23300E+06    0.20832E+02
  1237    0.91342E+03    0.25706E+02    0.10468E+02    0.23269E+06    0.21078E+02
  1238    0.90866E+03    0.25929E+02    0.10126E+02    0.23239E+06    0.21324E+02
  1239    0.90389E+03    0.26149E+02    0.97653E+01    0.23209E+06    0.21571E+02
  1240    0.89913E+03    0.26368E+02    0.93882E+01    0.23178E+06    0.21818E+02
  1241    0.89452E+03    0.26585E+02    0.89930E+01    0.23148E+06    0.22066E+02
  1242    0.88984E+03    0.26801E+02    0.85818E+01    0.23118E+06    0.22313E+02
  1243    0.88524E+03    0.27014E+02    0.81515E+01    0.23088E+06    0.22561E+02
  1244    0.88071E+03    0.27227E+02    0.77059E+01    0.23058E+06    0.22809E+02
  1245    0.87626E+03    0.27438E+02    0.72433E+01    0.23028E+06    0.23057E+02
  1246    0.87181E+03    0.27645E+02    0.67654E+01    0.22998E+06    0.23304E+02
  1247    0.86737E+03    0.27851E+02    0.62708E+01    0.22969E+06    0.23552E+02
  1248    0.86300E+03    0.28054E+02    0.57600E+01    0.22939E+06    0.23799E+02
  1249    0.85871E+03    0.28257E+02    0.52341E+01    0.22909E+06    0.24045E+02
  1250    0.85450E+03    0.28455E+02    0.46928E+01    0.22880E+06    0.24290E+02
  1251    0.85029E+03    0.28651E+02    0.41364E+01    0.22850E+06    0.24535E+02
  1252    0.84623E+03    0.28845E+02    0.35650E+01    0.22821E+06    0.24779E+02
  1253    0.84210E+03    0.29036E+02    0.29794E+01    0.22791E+06    0.25022E+02
  1254    0.83805E+03    0.29224E+02    0.23796E+01    0.22762E+06    0.25264E+02
  1255    0.83407E+03    0.29410E+02    0.17658E+01    0.22733E+06    0.25505E+02
  1256    0.83025E+03    0.29592E+02    0.11387E+01    0.22703E+06    0.25745E+02
  1257    0.82644E+03    0.29771E+02    0.49823E+00    0.22674E+06    0.25984E+02
  1258    0.82262E+03    0.29947E+02   -0.15505E+00    0.22645E+06    0.26222E+02
  1259    0.81889E+03    0.30121E+02   -0.82091E+00    0.22616E+06    0.26459E+02
  1260    0.81523E+03    0.30290E+02   -0.14989E+01    0.22587E+06    0.26696E+02
  1261    0.81165E+03    0.30457E+02   -0.21889E+01    0.22558E+06    0.26931E+02
  1262    0.80815E+03    0.30621E+02   -0.28902E+01    0.22529E+06    0.27166E+02
  1263    0.80472E+03    0.30781E+02   -0.36030E+01    0.22501E+06    0.27400E+02
  1264    0.80131E+03    0.30938E+02   -0.43268E+01    0.22472E+06    0.27633E+02
  1265    0.79804E+03    0.31091E+02   -0.50611E+01    0.22443E+06    0.27866E+02
  1266    0.79478E+03    0.31240E+02   -0.58054E+01    0.22415E+06    0.28098E+02
  1267    0.79160E+03    0.31385E+02   -0.65598E+01    0.22386E+06    0.28330E+02
  1268    0.78850E+03    0.31529E+02   -0.73239E+01    0.22357E+06    0.28561E+02
  1269    0.78549E+03    0.31666E+02   -0.80967E+01    0.22329E+06    0.28791E+02
  1270    0.78253E+03    0.31800E+02   -0.88792E+01    0.22301E+06    0.29021E+02
  1271    0.77966E+03    0.31930E+02   -0.96698E+01    0.22272E+06    0.29251E+02
  1272    0.77684E+03    0.32057E+02   -0.10468E+02    0.22244E+06    0.29481E+02
  1273    0.77408E+03    0.32179E+02   -0.11275E+02    0.22216E+06    0.29709E+02
  1274    0.77140E+03    0.32296E+02   -0.12088E+02    0.22188E+06    0.29937E+02
  1275    0.76880E+03    0.32410E+02   -0.12909E+02    0.22160E+06    0.30165E+02
  1276    0.76626E+03    0.32520E+02   -0.13736E+02    0.22132E+06    0.30391E+02
  1277    0.76380E+03    0.32626E+02   -0.14569E+02    0.22104E+06    0.30616E+02
  1278    0.76141E+03    0.32728E+02   -0.15408E+02    0.22076E+06    0.30841E+02
  1279    0.75910E+03    0.32825E+02   -0.16252E+02    0.22048E+06    0.31064E+02
  1280    0.75687E+03    0.32918E+02   -0.17103E+02    0.22020E+06    0.31286E+02
  1281    0.75472E+03    0.33007E+02   -0.17957E+02    0.21992E+06    0.31507E+02
  1282    0.75264E+03    0.33091E+02   -0.18815E+02    0.21965E+06    0.31726E+02
  1283    0.75063E+03    0.33171E+02   -0.19678E+02    0.21937E+06    0.31944E+02
  1284    0.74870E+03    0.33246E+02   -0.20544E+02    0.21909E+06    0.32160E+02
  1285    0.74684E+03    0.33318E+02   -0.21413E+02    0.21882E+06    0.32374E+02
  1286    0.74505E+03    0.33383E+02   -0.22286E+02    0.21854E+06    0.32586E+02
  1287    0.74335E+03    0.33445E+02   -0.23160E+02    0.21827E+06    0.32797E+02
  1288    0.74172E+03    0.33502E+02   -0.24037E+02    0.21800E+06    0.33005E+02
  1289    0.74016E+03    0.33556E+02   -0.24914E+02    0.21772E+06    0.33212E+02
  1290    0.73868E+03    0.33603E+02   -0.25794E+02    0.21745E+06    0.33416E+02
  1291    0.73728E+03    0.33647E+02   -0.26674E+02    0.21718E+06    0.33619E+02
  1292    0.73594E+03    0.33684E+02   -0.27556E+02    0.21691E+06    0.33820E+02
  1293    0.73468E+03    0.33719E+02   -0.28438E+02    0.21664E+06    0.34019E+02
  1294    0.73351E+03    0.33749E+02   -0.29317E+02    0.21637E+06    0.34217E+02
  1295    0.73240E+03    0.33774E+02   -0.30198E+02    0.21610E+06    0.34412E+02
  1296    0.73136E+03    0.33794E+02   -0.31075E+02    0.21583E+06    0.34606E+02
  1297    0.73040E+03    0.33810E+02   -0.31953E+02    0.21556E+06    0.34799E+02
  1298    0.72951E+03    0.33822E+02   -0.32828E+02    0.21529E+06    0.34990E+02
  1299    0.72869E+03    0.33828E+02   -0.33702E+02    0.21502E+06    0.35180E+02
  1300    0.72795E+03    0.33829E+02   -0.34573E+02    0.21476E+06    0.35368E+02
  1301    0.72729E+03    0.33827E+02   -0.35441E+02    0.21449E+06    0.35555E+02
  1302    0.72668E+03    0.33819E+02   -0.36304E+02    0.21422E+06    0.35740E+02
  1303    0.72616E+03    0.33807E+02   -0.37166E+02    0.21396E+06    0.35924E+02
  1304    0.72570E+03    0.33790E+02   -0.38022E+02    0.21369E+06    0.36107E+02
  1305    0.72531E+03    0.33768E+02   -0.38876E+02    0.21343E+06    0.36289E+02
  1306    0.72498E+03    0.33743E+02   -0.39723E+02    0.21317E+06    0.36470E+02
  1307    0.72474E+03    0.33712E+02   -0.40565E+02    0.21290E+06    0.36649E+02
  1308    0.72456E+03    0.33677E+02   -0.41403E+02    0.21264E+06    0.36827E+02
  1309    0.72444E+03    0.33636E+02   -0.42234E+02    0.21238E+06    0.37003E+02
  1310    0.72440E+03    0.33591E+02   -0.43060E+02    0.21212E+06    0.37178E+02
  1311    0.72441E+03    0.33542E+02   -0.43879E+02    0.21186E+06    0.37351E+02
  1312    0.72452E+03    0.33489E+02   -0.44691E+02    0.21159E+06    0.37522E+02
  1313    0.72467E+03    0.33431E+02   -0.45497E+02    0.21133E+06    0.37691E+02
  1314    0.72489E+03    0.33368E+02   -0.46294E+02    0.21108E+06    0.37859E+02
  1315    0.72516E+03    0.33302E+02   -0.47083E+02    0.21082E+06    0.38024E+02
  1316    0.72551E+03    0.33230E+02   -0.47865E+02    0.21056E+06    0.38187E+02
  1317    0.72592E+03    0.33156E+02   -0.48638E+02    0.21030E+06    0.38348E+02
  1318    0.72638E+03    0.33075E+02   -0.49402E+02    0.21004E+06    0.38506E+02
  1319    0.72690E+03    0.32991E+02   -0.50158E+02    0.20978E+06    0.38662E+02
  1320    0.72748E+03    0.32902E+02   -0.50904E+02    0.20953E+06    0.38816E+02
  1321    0.72812E+03    0.32811E+02   -0.51641E+02    0.20927E+06    0.38967E+02
  1322    0.72882E+03    0.32713E+02   -0.52367E+02    0.20902E+06    0.39115E+02
  1323    0.72957E+03    0.32612E+02   -0.53083E+02    0.20876E+06    0.39261E+02
  1324    0.73038E+03    0.32506E+02   -0.53789E+02    0.20851E+06    0.39404E+02
  1325    0.73124E+03    0.32397E+02   -0.54483E+02    0.20825E+06    0.39544E+02
  1326    0.73217E+03    0.32284E+02   -0.55168E+02    0.20800E+06    0.39682E+02
  1327    0.73312E+03    0.32168E+02   -0.55841E+02    0.20775E+06    0.39818E+02
  1328    0.73415E+03    0.32048E+02   -0.56501E+02    0.20749E+06    0.39951E+02
  1329    0.73521E+03    0.31923E+02   -0.57150E+02    0.20724E+06    0.40082E+02
  1330    0.73633E+03    0.31795E+02   -0.57787E+02    0.20699E+06    0.40210E+02
  1331    0.73750E+03    0.31663E+02   -0.58411E+02    0.20674E+06    0.40337E+02
  1332    0.73870E+03    0.31527E+02   -0.59024E+02    0.20649E+06    0.40461E+02
