#    L    TT             EE             TE             PP             TP          
    75    0.20569E+04    0.40884E+00   -0.83498E+01    0.56147E+07    0.89921E+04
    76    0.20833E+04    0.42345E+00   -0.88735E+01    0.55842E+07    0.88624E+04
    77    0.21099E+04    0.43827E+00   -0.94086E+01    0.55537E+07    0.87357E+04
    78    0.21369E+04    0.45332E+00   -0.99562E+01    0.55230E+07    0.86120E+04
    79    0.21640E+04    0.46853E+00   -0.10512E+02    0.54924E+07    0.84911E+04
    80    0.21915E+04    0.48389E+00   -0.11078E+02    0.54617E+07    0.83732E+04
    81    0.22191E+04    0.49934E+00   -0.11654E+02    0.54310E+07    0.82579E+04
    82    0.22471E+04    0.51491E+00   -0.12240E+02    0.54003E+07    0.81454E+04
    83    0.22753E+04    0.53058E+00   -0.12836E+02    0.53696E+07    0.80355E+04
    84    0.23038E+04    0.54634E+00   -0.13440E+02    0.53389E+07    0.79280E+04
    85    0.23324E+04    0.56216E+00   -0.14053E+02    0.53083E+07    0.78230E+04
    86    0.23613E+04    0.57806E+00   -0.14674E+02    0.52777E+07    0.77204E+04
    87    0.23907E+04    0.59402E+00   -0.15303E+02    0.52472E+07    0.76199E+04
    88    0.24200E+04    0.61003E+00   -0.15938E+02    0.52167E+07    0.75216E+04
    89    0.24497E+04    0.62608E+00   -0.16582E+02    0.51863E+07    0.74254E+04
    90    0.24797E+04    0.64214E+00   -0.17231E+02    0.51560E+07    0.73311E+04
    91    0.25098E+04    0.65819E+00   -0.17885E+02    0.51258E+07    0.72387E+04
    92    0.25402E+04    0.67423E+00   -0.18545E+02    0.50957E+07    0.71482E+04
    93    0.25709E+04    0.69024E+00   -0.19209E+02    0.50657E+07    0.70595E+04
    94    0.26018E+04    0.70619E+00   -0.19877E+02    0.50357E+07    0.69726E+04
    95    0.26329E+04    0.72208E+00   -0.20550E+02    0.50059E+07    0.68875E+04
    96    0.26640E+04    0.73789E+00   -0.21226E+02    0.49763E+07    0.68040E+04
    97    0.26955E+04    0.75361E+00   -0.21906E+02    0.49467E+07    0.67222E+04
    98    0.27273E+04    0.76923E+00   -0.22586E+02    0.49173E+07    0.66420E+04
    99    0.27592E+04    0.78472E+00   -0.23270E+02    0.48880E+07    0.65633E+04
   100    0.27914E+04    0.80006E+00   -0.23953E+02    0.48588E+07    0.64862E+04
   101    0.28237E+04    0.81533E+00   -0.24638E+02    0.48298E+07    0.64105E+04
   102    0.28566E+04    0.83037E+00   -0.25324E+02    0.48010E+07    0.63363E+04
   103    0.28893E+04    0.84526E+00   -0.26010E+02    0.47723E+07    0.62636E+04
   104    0.29224E+04    0.85999E+00   -0.26694E+02    0.47437E+07    0.61922E+04
   105    0.29555E+04    0.87448E+00   -0.27377E+02    0.47153E+07    0.61221E+04
   106    0.29889E+04    0.88882E+00   -0.28058E+02    0.46870E+07    0.60534E+04
   107    0.30223E+04    0.90285E+00   -0.28737E+02    0.46589E+07    0.59860E+04
   108    0.30560E+04    0.91665E+00   -0.29413E+02    0.46310E+07    0.59197E+04
   109    0.30898E+04    0.93014E+00   -0.30086E+02    0.46032E+07    0.58547E+04
   110    0.31238E+04    0.94331E+00   -0.30753E+02    0.45756E+07    0.57909E+04
   111    0.31579E+04    0.95625E+00   -0.31417E+02    0.45481E+07    0.57282E+04
   112    0.31922E+04    0.96888E+00   -0.32076E+02    0.45208E+07    0.56666E+04
   113    0.32267E+04    0.98119E+00   -0.32729E+02    0.44937E+07    0.56060E+04
   114    0.32613E+04    0.99312E+00   -0.33375E+02    0.44668E+07    0.55464E+04
   115    0.32961E+04    0.10048E+01   -0.34014E+02    0.44401E+07    0.54879E+04
   116    0.33310E+04    0.10160E+01   -0.34646E+02    0.44135E+07    0.54303E+04
   117    0.33661E+04    0.10268E+01   -0.35269E+02    0.43871E+07    0.53737E+04
   118    0.34014E+04    0.10374E+01   -0.35885E+02    0.43609E+07    0.53180E+04
   119    0.34367E+04    0.10476E+01   -0.36491E+02    0.43348E+07    0.52632E+04
   120    0.34722E+04    0.10573E+01   -0.37086E+02    0.43090E+07    0.52093E+04
   121    0.35077E+04    0.10667E+01   -0.37672E+02    0.42833E+07    0.51562E+04
   122    0.35433E+04    0.10756E+01   -0.38246E+02    0.42578E+07    0.51040E+04
   123    0.35789E+04    0.10840E+01   -0.38810E+02    0.42325E+07    0.50527E+04
   124    0.36146E+04    0.10920E+01   -0.39360E+02    0.42073E+07    0.50021E+04
   125    0.36504E+04    0.10995E+01   -0.39897E+02    0.41824E+07    0.49524E+04
   126    0.36862E+04    0.11067E+01   -0.40422E+02    0.41576E+07    0.49034E+04
   127    0.37220E+04    0.11133E+01   -0.40934E+02    0.41330E+07    0.48551E+04
   128    0.37578E+04    0.11195E+01   -0.41431E+02    0.41086E+07    0.48076E+04
   129    0.37937E+04    0.11252E+01   -0.41913E+02    0.40843E+07    0.47609E+04
   130    0.38296E+04    0.11303E+01   -0.42379E+02    0.40603E+07    0.47148E+04
   131    0.38655E+04    0.11350E+01   -0.42831E+02    0.40364E+07    0.46694E+04
   132    0.39015E+04    0.11392E+01   -0.43266E+02    0.40127E+07    0.46246E+04
   133    0.39374E+04    0.11429E+01   -0.43685E+02    0.39892E+07    0.45805E+04
   134    0.39733E+04    0.11462E+01   -0.44084E+02    0.39658E+07    0.45370E+04
   135    0.40092E+04    0.11489E+01   -0.44467E+02    0.39427E+07    0.44942E+04
   136    0.40450E+04    0.11511E+01   -0.44829E+02    0.39197E+07    0.44519E+04
   137    0.40807E+04    0.11528E+01   -0.45173E+02    0.38969E+07    0.44102E+04
   138    0.41164E+04    0.11539E+01   -0.45498E+02    0.38742E+07    0.43692E+04
   139    0.41519E+04    0.11546E+01   -0.45802E+02    0.38518E+07    0.43287E+04
   140    0.41875E+04    0.11548E+01   -0.46086E+02    0.38295E+07    0.42887E+04
   141    0.42228E+04    0.11543E+01   -0.46349E+02    0.38074E+07    0.42493E+04
   142    0.42582E+04    0.11534E+01   -0.46591E+02    0.37854E+07    0.42105E+04
   143    0.42935E+04    0.11521E+01   -0.46811E+02    0.37637E+07    0.41721E+04
   144    0.43286E+04    0.11502E+01   -0.47010E+02    0.37421E+07    0.41343E+04
   145    0.43635E+04    0.11479E+01   -0.47187E+02    0.37206E+07    0.40969E+04
   146    0.43985E+04    0.11449E+01   -0.47340E+02    0.36994E+07    0.40601E+04
   147    0.44332E+04    0.11416E+01   -0.47470E+02    0.36783E+07    0.40237E+04
   148    0.44678E+04    0.11377E+01   -0.47578E+02    0.36574E+07    0.39878E+04
   149    0.45023E+04    0.11333E+01   -0.47662E+02    0.36366E+07    0.39523E+04
   150    0.45365E+04    0.11286E+01   -0.47719E+02    0.36160E+07    0.39173E+04
   151    0.45705E+04    0.11233E+01   -0.47753E+02    0.35956E+07    0.38827E+04
   152    0.46043E+04    0.11176E+01   -0.47762E+02    0.35753E+07    0.38485E+04
   153    0.46379E+04    0.11114E+01   -0.47745E+02    0.35553E+07    0.38148E+04
   154    0.46713E+04    0.11048E+01   -0.47702E+02    0.35353E+07    0.37815E+04
   155    0.47045E+04    0.10978E+01   -0.47634E+02    0.35156E+07    0.37485E+04
   156    0.47373E+04    0.10905E+01   -0.47539E+02    0.34959E+07    0.37160E+04
   157    0.47700E+04    0.10827E+01   -0.47418E+02    0.34765E+07    0.36838E+04
   158    0.48023E+04    0.10747E+01   -0.47270E+02    0.34572E+07    0.36521E+04
   159    0.48344E+04    0.10661E+01   -0.47095E+02    0.34381E+07    0.36207E+04
   160    0.48662E+04    0.10573E+01   -0.46892E+02    0.34191E+07    0.35896E+04
   161    0.48978E+04    0.10482E+01   -0.46663E+02    0.34002E+07    0.35590E+04
   162    0.49291E+04    0.10388E+01   -0.46406E+02    0.33816E+07    0.35287E+04
   163    0.49601E+04    0.10290E+01   -0.46122E+02    0.33630E+07    0.34987E+04
   164    0.49907E+04    0.10190E+01   -0.45810E+02    0.33447E+07    0.34690E+04
   165    0.50211E+04    0.10087E+01   -0.45469E+02    0.33264E+07    0.34397E+04
   166    0.50512E+04    0.99818E+00   -0.45101E+02    0.33084E+07    0.34108E+04
   167    0.50810E+04    0.98732E+00   -0.44705E+02    0.32904E+07    0.33821E+04
   168    0.51103E+04    0.97645E+00   -0.44280E+02    0.32727E+07    0.33537E+04
   169    0.51393E+04    0.96528E+00   -0.43826E+02    0.32550E+07    0.33257E+04
   170    0.51679E+04    0.95404E+00   -0.43345E+02    0.32375E+07    0.32979E+04
   171    0.51960E+04    0.94271E+00   -0.42833E+02    0.32202E+07    0.32705E+04
   172    0.52238E+04    0.93123E+00   -0.42293E+02    0.32030E+07    0.32433E+04
   173    0.52510E+04    0.91960E+00   -0.41725E+02    0.31859E+07    0.32164E+04
   174    0.52779E+04    0.90811E+00   -0.41128E+02    0.31690E+07    0.31898E+04
   175    0.53044E+04    0.89648E+00   -0.40501E+02    0.31522E+07    0.31635E+04
   176    0.53304E+04    0.88492E+00   -0.39846E+02    0.31355E+07    0.31375E+04
   177    0.53559E+04    0.87337E+00   -0.39163E+02    0.31190E+07    0.31117E+04
   178    0.53809E+04    0.86204E+00   -0.38451E+02    0.31026E+07    0.30862E+04
   179    0.54055E+04    0.85064E+00   -0.37710E+02    0.30863E+07    0.30609E+04
   180    0.54298E+04    0.83939E+00   -0.36941E+02    0.30702E+07    0.30359E+04
   181    0.54534E+04    0.82830E+00   -0.36145E+02    0.30542E+07    0.30111E+04
   182    0.54766E+04    0.81743E+00   -0.35319E+02    0.30383E+07    0.29866E+04
   183    0.54993E+04    0.80673E+00   -0.34466E+02    0.30226E+07    0.29623E+04
   184    0.55215E+04    0.79625E+00   -0.33585E+02    0.30069E+07    0.29382E+04
   185    0.55433E+04    0.78616E+00   -0.32677E+02    0.29914E+07    0.29144E+04
   186    0.55642E+04    0.77632E+00   -0.31740E+02    0.29761E+07    0.28908E+04
   187    0.55850E+04    0.76686E+00   -0.30776E+02    0.29608E+07    0.28674E+04
   188    0.56051E+04    0.75777E+00   -0.29786E+02    0.29457E+07    0.28442E+04
   189    0.56247E+04    0.74910E+00   -0.28768E+02    0.29307E+07    0.28212E+04
   190    0.56440E+04    0.74089E+00   -0.27725E+02    0.29158E+07    0.27985E+04
   191    0.56625E+04    0.73318E+00   -0.26654E+02    0.29010E+07    0.27760E+04
   192    0.56805E+04    0.72598E+00   -0.25556E+02    0.28863E+07    0.27537E+04
   193    0.56978E+04    0.71935E+00   -0.24435E+02    0.28718E+07    0.27315E+04
   194    0.57148E+04    0.71330E+00   -0.23286E+02    0.28574E+07    0.27096E+04
   195    0.57311E+04    0.70789E+00   -0.22113E+02    0.28431E+07    0.26879E+04
   196    0.57468E+04    0.70316E+00   -0.20915E+02    0.28289E+07    0.26664E+04
   197    0.57620E+04    0.69914E+00   -0.19694E+02    0.28148E+07    0.26450E+04
   198    0.57767E+04    0.69586E+00   -0.18447E+02    0.28008E+07    0.26239E+04
   199    0.57908E+04    0.69336E+00   -0.17178E+02    0.27870E+07    0.26029E+04
   200    0.58043E+04    0.69168E+00   -0.15885E+02    0.27732E+07    0.25822E+04
   201    0.58172E+04    0.69087E+00   -0.14569E+02    0.27596E+07    0.25616E+04
   202    0.58295E+04    0.69095E+00   -0.13231E+02    0.27461E+07    0.25412E+04
   203    0.58411E+04    0.69197E+00   -0.11869E+02    0.27326E+07    0.25209E+04
   204    0.58521E+04    0.69396E+00   -0.10489E+02    0.27193E+07    0.25009E+04
   205    0.58625E+04    0.69697E+00   -0.90857E+01    0.27061E+07    0.24810E+04
   206    0.58722E+04    0.70103E+00   -0.76622E+01    0.26930E+07    0.24612E+04
   207    0.58813E+04    0.70617E+00   -0.62185E+01    0.26800E+07    0.24416E+04
   208    0.58897E+04    0.71245E+00   -0.47551E+01    0.26671E+07    0.24222E+04
   209    0.58974E+04    0.71988E+00   -0.32725E+01    0.26543E+07    0.24030E+04
   210    0.59045E+04    0.72852E+00   -0.17715E+01    0.26416E+07    0.23839E+04
   211    0.59110E+04    0.73841E+00   -0.25235E+00    0.26290E+07    0.23649E+04
   212    0.59167E+04    0.74958E+00    0.12841E+01    0.26165E+07    0.23462E+04
